hale,hosa,english
ಅವಳ್ ಶಾಲೆಗೆ ಪೋದಳ್,ಅವಳು ಶಾಲೆಗೆ ಹೋದಳು,She went to school.
ನಾಯ್ ಬೊಗಳಿತ್ತು,ನಾಯಿಯು ಬೊಗಳಿತು,The dog barked.
ಅವಳ್ ಶಾಲೆಗೆ ಪೋದಳ್,ಅವಳು ಶಾಲೆಗೆ ಹೋದಳು,She went to school.
ಅದು ಒಳ್ ಮಾತು ಹೌದು,ಅದು ಒಳ್ಳೆಯ ಮಾತು ಹೌದು,That is a good word too.
ಹೊಳೆ ತುಂಬಿ ಹರಿದತ್ತು,ಹೊಳೆಯು ತುಂಬಿ ಹರಿಯಿತು,The river flowed full.
ಅದು ಒಳ್ ಮಾತು,ಅದು ಒಳ್ಳೆಯ ಮಾತು,That is a good word.
ಬಾಲಕಂ ಓದುತಿರ್ದಂ,ಹುಡುಗನು ಓದುತ್ತಿದ್ದನು,The boy was reading.
ತಾಯ್ ನುಡಿದಳ್,ತಾಯಿ ಮಾತನಾಡಿದಳು,The mother spoke.
ರಾಜಂ ಆನೆಯಂ ಕಂಡಂ,ರಾಜನು ಆನೆಯನ್ನು ನೋಡಿದನು,The king saw an elephant.
ಅವರ್ ಊರಿಂಗೆ ಬಂದರ್,ಅವರು ಊರಿಗೆ ಬಂದರು,They came to the village.
ಮರದಿಂ ಹಣ್ಣು ಬಿದ್ದತ್ತು ಕೂಡ,ಮರದಿಂದ ಹಣ್ಣು ಬಿತ್ತು ಕೂಡ,The fruit fell from the tree again.
ಜನರ್ ಕೂಗಿ ಪೇಳ್ದರ್,ಜನರು ಕೂಗಿ ಹೇಳಿದರು,The people shouted and said.
ರಾಜಂ ಆನೆಯಂ ಕಂಡಂ,ರಾಜನು ಆನೆಯನ್ನು ನೋಡಿದನು,The king saw an elephant.
ಪುಲಿಯಂ ಕಂಡು ಅಂಜಿದಂ ಹೌದು,ಹುಲಿಯನ್ನು ಕಂಡು ಹೆದರಿದನು ಹೌದು,He feared upon seeing the tiger.
ಜನರ್ ಕೂಗಿ ಪೇಳ್ದರ್,ಜನರು ಕೂಗಿ ಹೇಳಿದರು,The people shouted and said.
ನೀಂ ಎಲ್ಲಿರ್ದೆ? ಮತ್ತೊಮ್ಮೆ,ನೀನು ಎಲ್ಲಿ ಇದ್ದೆ? ಮತ್ತೊಮ್ಮೆ,Where were you? again.
ಮರದಿಂ ಹಣ್ಣು ಬಿದ್ದತ್ತು ಹೌದು,ಮರದಿಂದ ಹಣ್ಣು ಬಿತ್ತು ಹೌದು,The fruit fell from the tree too.
ಬಾಲಕಂ ಓದುತಿರ್ದಂ ಕೂಡ,ಹುಡುಗನು ಓದುತ್ತಿದ್ದನು ಕೂಡ,The boy was reading again.
ತಾಯ್ ನುಡಿದಳ್,ತಾಯಿ ಮಾತನಾಡಿದಳು,The mother spoke.
ಕೆರೆಯೊಳ್ ಮೀನಿರ್ದುವು ಮತ್ತೊಮ್ಮೆ,ಕೆರೆಯಲ್ಲಿ ಮೀನುಗಳು ಇದ್ದವು ಮತ್ತೊಮ್ಮೆ,There were fish in the lake.
ರಾಜಂ ಆನೆಯಂ ಕಂಡಂ,ರಾಜನು ಆನೆಯನ್ನು ನೋಡಿದನು,The king saw an elephant.
ಮರದಿಂ ಹಣ್ಣು ಬಿದ್ದತ್ತು ಅಷ್ಟೇ,ಮರದಿಂದ ಹಣ್ಣು ಬಿತ್ತು ಅಷ್ಟೇ,The fruit fell from the tree again.
ರಾಜಂ ಆನೆಯಂ ಕಂಡಂ,ರಾಜನು ಆನೆಯನ್ನು ನೋಡಿದನು,The king saw an elephant.
ಕೆರೆಯೊಳ್ ಮೀನಿರ್ದುವು ಕೂಡ,ಕೆರೆಯಲ್ಲಿ ಮೀನುಗಳು ಇದ್ದವು ಕೂಡ,There were fish in the lake.
ಕೆರೆಯೊಳ್ ಮೀನಿರ್ದುವು,ಕೆರೆಯಲ್ಲಿ ಮೀನುಗಳು ಇದ್ದವು,There were fish in the lake.
ಕೆರೆಯೊಳ್ ಮೀನಿರ್ದುವು,ಕೆರೆಯಲ್ಲಿ ಮೀನುಗಳು ಇದ್ದವು,There were fish in the lake.
ನಾಯ್ ಬೊಗಳಿತ್ತು,ನಾಯಿಯು ಬೊಗಳಿತು,The dog barked.
ಹೊಳೆ ತುಂಬಿ ಹರಿದತ್ತು,ಹೊಳೆಯು ತುಂಬಿ ಹರಿಯಿತು,The river flowed full.
ಜನರ್ ಕೂಗಿ ಪೇಳ್ದರ್,ಜನರು ಕೂಗಿ ಹೇಳಿದರು,The people shouted and said.
ನೃಪಂ ರಾಜ್ಯಮಂ ಆಳ್ದಂ,ರಾಜನು ರಾಜ್ಯವನ್ನು ಆಳಿದನು,The king ruled the kingdom.
ಗುರುಗಳ್ ಪಾಠಮಂ ಪೇಳ್ದರ್,ಗುರುಗಳು ಪಾಠವನ್ನು ಹೇಳಿದರು,The teachers taught the lesson.
ಪುಲಿಯಂ ಕಂಡು ಅಂಜಿದಂ,ಹುಲಿಯನ್ನು ಕಂಡು ಹೆದರಿದನು,He feared upon seeing the tiger.
ಅದು ಒಳ್ ಮಾತು ಮತ್ತೊಮ್ಮೆ,ಅದು ಒಳ್ಳೆಯ ಮಾತು ಮತ್ತೊಮ್ಮೆ,That is a good word again.
ನಾಯ್ ಬೊಗಳಿತ್ತು,ನಾಯಿಯು ಬೊಗಳಿತು,The dog barked.
ರಾಜಂ ಆನೆಯಂ ಕಂಡಂ ಹೌದು,ರಾಜನು ಆನೆಯನ್ನು ನೋಡಿದನು ಹೌದು,The king saw an elephant.
ಅದು ಒಳ್ ಮಾತು,ಅದು ಒಳ್ಳೆಯ ಮಾತು,That is a good word.
ಅವನು ಮನೆಗೇ ಹೋದ ಕೂಡ,ಅವನು ಮನೆಗೆ ಹೋದನು ಕೂಡ,He went home.
ರಾಜಂ ಆನೆಯಂ ಕಂಡಂ,ರಾಜನು ಆನೆಯನ್ನು ನೋಡಿದನು,The king saw an elephant.
